df,max_intensity,max_wavelength,center,width,half_width,lower_bound,upper_bound,wavelength
"     wavelength  intensity
0           350      -0.65
1           351       0.05
2           352      -0.90
3           353       0.63
4           354       0.87
..          ...        ...
646         996       0.98
647         997       0.54
648         998       1.16
649         999      -1.68
650        1000      -1.45

[651 rows x 2 columns]",1443.94,404,405.03652491460565,7.096386603333372,3.548193301666686,401.48833161293896,408.58471821627234,400
"     wavelength  intensity
0           350      -0.31
1           351       0.38
2           352      -2.24
3           353       0.18
4           354       1.98
..          ...        ...
646         996       3.56
647         997       1.14
648         998       1.98
649         999       2.61
650        1000       1.80

[651 rows x 2 columns]",923.71,438,436.88562205090165,6.931331959172212,3.465665979586106,433.41995607131554,440.35128803048775,455
"     wavelength  intensity
0           350      -1.52
1           351      -1.25
2           352      -1.17
3           353       2.25
4           354       1.69
..          ...        ...
646         996      -2.57
647         997       1.87
648         998      -3.75
649         999      -1.92
650        1000      -1.41

[651 rows x 2 columns]",3781.9,466,471.1740591523011,26.222153770616842,13.111076885308421,458.06298226699266,484.2851360376095,470
"     wavelength  intensity
0           350       2.71
1           351      -1.11
2           352      -2.04
3           353      -0.31
4           354       0.75
..          ...        ...
646         996       0.31
647         997      -0.68
648         998      -2.34
649         999       1.92
650        1000      -1.32

[651 rows x 2 columns]",3285.43,506,507.8511981340434,23.477717328689607,11.738858664344804,496.1123394696986,519.5900567983882,505
"     wavelength  intensity
0           350      -3.43
1           351       4.00
2           352      -0.54
3           353      -1.34
4           354       1.31
..          ...        ...
646         996       4.91
647         997       0.33
648         998       0.21
649         999       4.91
650        1000       2.72

[651 rows x 2 columns]",2988.05,519,520.5190017539401,27.413491624790595,13.706745812395297,506.8122559415448,534.2257475663354,525
"     wavelength  intensity
0           350      -0.64
1           351       0.72
2           352      -0.36
3           353       0.77
4           354      -0.49
..          ...        ...
646         996       4.73
647         997      -0.35
648         998       1.65
649         999      -0.73
650        1000       2.98

[651 rows x 2 columns]",2788.01,569,569.7305074653798,24.614969441860694,12.307484720930347,557.4230227444494,582.0379921863101,570
"     wavelength  intensity
0           350      -0.04
1           351      -2.09
2           352       1.03
3           353       0.36
4           354       0.74
..          ...        ...
646         996       3.50
647         997       0.70
648         998      -1.12
649         999      -0.02
650        1000      -3.39

[651 rows x 2 columns]",3540.87,592,591.2371856353147,14.607901473391394,7.303950736695697,583.933234898619,598.5411363720104,590
"     wavelength  intensity
0           350      -0.41
1           351      -1.39
2           352       0.10
3           353       0.01
4           354       1.69
..          ...        ...
646         996       0.64
647         997       1.96
648         998      -0.60
649         999       0.82
650        1000       2.30

[651 rows x 2 columns]",3184.15,611,609.7719593472632,14.100858302517736,7.050429151258868,602.7215301960043,616.8223884985221,604
"     wavelength  intensity
0           350       0.02
1           351       0.90
2           352       0.05
3           353      -0.04
4           354      -0.92
..          ...        ...
646         996       7.32
647         997       2.02
648         998       0.70
649         999       0.04
650        1000       1.78

[651 rows x 2 columns]",3751.7,639,636.0300573959079,17.843593242011366,8.921796621005683,627.1082607749022,644.9518540169136,626
"     wavelength  intensity
0           350      -1.66
1           351       0.09
2           352      -1.48
3           353       2.08
4           354       0.97
..          ...        ...
646         996       0.11
647         997       1.76
648         998       5.88
649         999       5.55
650        1000       3.54

[651 rows x 2 columns]",3557.3,651,650.2351872276837,19.237818670671686,9.618909335335843,640.6162778923479,659.8540965630195,640
