USB2G57977_1:101,
350,-3.43
351,4
352,-0.54
353,-1.34
354,1.31
355,0.4
356,1.66
357,0.87
358,2.03
359,0.66
360,2.85
361,-0.2
362,3.94
363,1.85
364,4.96
365,4.16
366,1.87
367,1.43
368,1.9
369,-0.32
370,2.63
371,5.86
372,3.39
373,5.97
374,7.44
375,4.26
376,3.75
377,3.28
378,0.92
379,4.79
380,4.18
381,3.42
382,3.83
383,4.14
384,7.44
385,0.91
386,4.06
387,2.28
388,0.48
389,6.26
390,6.32
391,4.1
392,7.17
393,5.51
394,3.98
395,4.8
396,4.33
397,4.29
398,3.52
399,6.87
400,4.07
401,4.41
402,9.88
403,5.31
404,9.19
405,9.95
406,3.07
407,1.3
408,7.37
409,1.77
410,5.35
411,7.71
412,4.84
413,7.99
414,7.15
415,6.32
416,6.67
417,4.67
418,5.1
419,3.79
420,8.87
421,4.97
422,7.49
423,7.25
424,8.27
425,6.06
426,7.84
427,4.73
428,8.85
429,9.83
430,6.71
431,7.11
432,7.89
433,10.72
434,7.32
435,9.44
436,11.33
437,8.93
438,11.24
439,10.07
440,10.97
441,8.87
442,9.92
443,11.79
444,9.88
445,7.21
446,9.89
447,8.72
448,9.86
449,9.7
450,9.99
451,10.96
452,10.87
453,11.06
454,10.85
455,11.63
456,8.25
457,10.44
458,8.85
459,6.99
460,9.97
461,12.84
462,11.65
463,8.77
464,8.46
465,11.18
466,11.97
467,13.24
468,11.47
469,15.49
470,15.27
471,15.98
472,15.73
473,17.72
474,18.79
475,22.17
476,23.37
477,27.71
478,33.49
479,31.94
480,38.57
481,42.4
482,49.87
483,57.74
484,65.86
485,84.12
486,90.73
487,115.56
488,130.16
489,157.52
490,179.6
491,207.91
492,236.1
493,274.07
494,316.18
495,363.61
496,423.87
497,482.11
498,565.96
499,668.17
500,753.1
501,846.4
502,976.8
503,1094.79
504,1237.54
505,1397.34
506,1561.33
507,1675.94
508,1861.25
509,2016.54
510,2233.64
511,2365.6
512,2553.07
513,2686.09
514,2754.22
515,2834.71
516,2838.89
517,2939.09
518,2974.79
519,2988.05
520,2935.26
521,2921.46
522,2875.32
523,2797.62
524,2696.61
525,2539.04
526,2367.02
527,2368.61
528,2235.73
529,2116.2
530,1995.81
531,1873.62
532,1766.91
533,1657.39
534,1516.94
535,1426.37
536,1383.09
537,1297.32
538,1232.72
539,1161.61
540,1090.55
541,1007.47
542,965.72
543,896.57
544,840.35
545,791.71
546,751.11
547,707.13
548,654.85
549,617.6
550,562.06
551,515.69
552,483.2
553,450.03
554,420.94
555,395.13
556,362.7
557,342.69
558,319.26
559,289.74
560,277.01
561,254.82
562,242.07
563,224.52
564,203.04
565,197.91
566,180.51
567,172.85
568,157.83
569,139.94
570,129.93
571,123.13
572,114.91
573,112.47
574,99.98
575,89.34
576,80.47
577,80.76
578,77.05
579,66.49
580,64.57
581,58.56
582,56.61
583,52.16
584,47.39
585,43.83
586,47.03
587,42
588,36.13
589,36.83
590,36.77
591,33.46
592,27.87
593,24.64
594,21.04
595,22.55
596,24.81
597,22.81
598,21.26
599,17
600,19.37
601,13.84
602,17.07
603,14.93
604,15.61
605,11.8
606,16.22
607,12.84
608,12.02
609,9.92
610,5.86
611,11.24
612,8.55
613,9.92
614,11.12
615,6.99
616,8.14
617,8.69
618,10.05
619,3.29
620,8.16
621,5.42
622,4.36
623,9.12
624,10.69
625,4.8
626,4.81
627,5.02
628,3.5
629,3.07
630,5.89
631,7.61
632,4.6
633,6.91
634,4.03
635,4.84
636,5.02
637,5.75
638,5.9
639,3.24
640,3.37
641,3.87
642,3.43
643,8.46
644,3.12
645,1.87
646,3.8
647,4.4
648,3.66
649,4.87
650,4.09
651,2.37
652,3.34
653,6.76
654,4.28
655,6.56
656,4.94
657,1.67
658,2.83
659,0.69
660,7.2
661,1.23
662,2.92
663,5.58
664,2.26
665,2.6
666,0.5
667,4.28
668,2.99
669,4.94
670,3.87
671,3.99
672,2.84
673,2.85
674,5.71
675,4.05
676,5.97
677,3.67
678,2.03
679,1.61
680,4.57
681,4.84
682,5.09
683,1.98
684,3.5
685,2.26
686,3.98
687,1.18
688,3.5
689,2.36
690,4.89
691,6.71
692,5.55
693,4.56
694,7.83
695,1.82
696,1.86
697,5.58
698,4.96
699,4.4
700,0.18
701,0.33
702,3.72
703,3.97
704,0.42
705,6.15
706,2.01
707,3.43
708,2.93
709,2.86
710,4.28
711,2.52
712,2.34
713,6.53
714,5.09
715,1.62
716,1.48
717,5.68
718,3.8
719,2.52
720,2.84
721,1.4
722,5.97
723,2.38
724,1.94
725,2.4
726,0.21
727,1.27
728,1.42
729,3.31
730,2.43
731,3.16
732,4.05
733,4.07
734,3.83
735,0.34
736,4.64
737,4.27
738,1.28
739,4.24
740,1.49
741,4.03
742,3.12
743,3.93
744,0.01
745,1.89
746,0.75
747,4.84
748,1.92
749,4.86
750,1.85
751,2.26
752,2.28
753,7.42
754,4.99
755,2.92
756,3.56
757,4.71
758,2.78
759,2.04
760,1.19
761,-0.16
762,3.17
763,2.72
764,3.09
765,0.82
766,3.88
767,4.51
768,4.44
769,2.83
770,4.87
771,5.02
772,3.03
773,2.63
774,-0.29
775,4.6
776,3.43
777,-0.26
778,2.79
779,4.18
780,-1.22
781,3.39
782,4.3
783,-0.16
784,5.98
785,0.84
786,2.25
787,0.93
788,5.33
789,-0.08
790,3.6
791,3.99
792,4.54
793,5.52
794,2.92
795,0.74
796,1.36
797,3.2
798,3.11
799,3.77
800,4.64
801,1.94
802,5.23
803,6.64
804,4.77
805,3.75
806,4.85
807,1.8
808,6.49
809,2.09
810,3.56
811,2.55
812,3.84
813,4.17
814,1.35
815,4.32
816,4.01
817,2.71
818,2.13
819,4.57
820,0.78
821,0.89
822,1.95
823,1.3
824,2.12
825,4.58
826,5.77
827,1.71
828,2.06
829,1.26
830,4.15
831,2.77
832,-0.54
833,0.86
834,-1.65
835,4.31
836,2.4
837,-0.96
838,2.17
839,-1.22
840,1.36
841,4.16
842,2.01
843,2.86
844,2.76
845,-0.17
846,2.13
847,-0.41
848,5.59
849,3.1
850,5.87
851,0.59
852,2.39
853,2.95
854,1.55
855,3.29
856,4.84
857,0.96
858,3.58
859,2.38
860,1.76
861,-0.09
862,0.25
863,1.6
864,0.77
865,3.82
866,2.7
867,1.59
868,3.4
869,3.58
870,-1.12
871,3.71
872,2.48
873,2.2
874,1.01
875,4.59
876,-1.37
877,5.36
878,2.3
879,-1.35
880,1.43
881,3.18
882,-0.82
883,1.92
884,3.33
885,3.08
886,4.53
887,3.84
888,1.45
889,0.41
890,0.7
891,2.81
892,2.27
893,6
894,3.73
895,3.74
896,1.64
897,2.54
898,0.67
899,-1.15
900,0.04
901,3.84
902,0.82
903,1.89
904,0.26
905,4.94
906,2.46
907,2.25
908,2.73
909,1.67
910,-0.27
911,2.08
912,2.69
913,-1.19
914,2.3
915,0.62
916,2.84
917,3.54
918,3.01
919,4.01
920,1.78
921,0.31
922,5.1
923,4.83
924,2.89
925,1.82
926,1.75
927,3.19
928,3.86
929,3.12
930,4.57
931,1.87
932,3.87
933,-0.35
934,-3.11
935,0.37
936,4.51
937,2.08
938,2.76
939,5.36
940,0.82
941,1.18
942,2.69
943,3.01
944,1.69
945,2.83
946,3.09
947,1.68
948,1.55
949,3.76
950,3.42
951,1.97
952,-1.82
953,4.8
954,2.85
955,0.46
956,2.45
957,1.32
958,4.93
959,3.2
960,0.84
961,5.21
962,3.55
963,0.85
964,5.15
965,4.83
966,5.08
967,4.68
968,1.96
969,2.8
970,-1.1
971,2.91
972,2.34
973,2.26
974,2.68
975,0.82
976,2.64
977,2.63
978,3.98
979,4.95
980,2.32
981,1.81
982,2.14
983,4.3
984,-0.13
985,3.89
986,2.91
987,0.1
988,1.92
989,4.26
990,1.52
991,4.02
992,4.8
993,3.35
994,1.76
995,1.43
996,4.91
997,0.33
998,0.21
999,4.91
1000,2.72
