z,n,name,levelEnergy(MeV),halflife,halflifeUnit,halflifeUncertainty
1,2,3H,0,12.3221,y,0.0106
6,8,14C,0,5686,y,22
13,13,26Al,0,7.17e+05,y,1.71e+04
13,13,26Al,0.228305,6.34603,s,0.00054
14,18,32Si,0,163.3,y,6.2
17,19,36Cl,0,3.01e+05,y,1.50e+03
18,21,39Ar,0,268,y,8
18,24,42Ar,0,32.9,y,1.1
20,21,41Ca,0,9.94e+04,y,1.50e+03
22,22,44Ti,0,59.1,y,0.3
27,33,60Co,0,5.271,y,+0.001-0.001
27,33,60Co,0.05859,10.467,m,+0.006-0.005
28,35,63Ni,0,100.8,y,1.2
28,31,59Ni,0,8.10e+04,y,8.92e+03
34,45,79Se,0,3.27e+05,y,2.86e+04
34,45,79Se,0.09577,3.92,m,0.01
36,49,85Kr,0,10.73,y,+0.01-0.01
36,49,85Kr,0.304871,4.48,h,0.008
36,45,81Kr,0,2.29e+05,y,1.10e+04
36,45,81Kr,0.19064,13.21,s,0.11
38,52,90Sr,0,28.91,y,+0.02-0.02
41,50,91Nb,0,680,y,130
41,50,91Nb,0.1046,60.86,d,0.22
41,53,94Nb,0,2.04e+04,y,3.85e+02
41,53,94Nb,0.040892000000000005,6.263,m,0.004
42,51,93Mo,0,4000,y,800
42,51,93Mo,2.42495,6.85,h,0.07
43,56,99Tc,0,2.11e+05,y,1.20e+03
43,56,99Tc,0.14268360000000002,6.0073,h,0.0007
50,76,126Sn,0,1.98e+05,y,6.00e+03
55,82,137Cs,0,30.007,y,+0.023-0.023
56,77,133Ba,0,10.536,y,+0.004-0.004
56,77,133Ba,0.288252,38.87,h,0.07
57,80,137La,0,6.00e+04,y,2.00e+04
61,85,146Pm,0,5.53,y,0.05
61,84,145Pm,0,17.7,y,0.4
62,89,151Sm,0,94.6,y,0.6
63,89,152Eu,0,13.517,y,0.009
63,89,152Eu,0.0455998,9.3116,h,0.0013
63,89,152Eu,0.14786000000000002,95.8,m,0.4
63,87,150Eu,0,36.6,y,0.7
63,87,150Eu,0.0417,12.8,h,0.1
63,91,154Eu,0,8.591,y,+0.004-0.004
63,91,154Eu,0.1453,46.3,m,0.3
64,84,148Gd,0,86.9,y,3.9
65,93,158Tb,0,180,y,11
65,93,158Tb,0.1103,10.7,s,0.2
65,92,157Tb,0,71,y,7
67,96,163Ho,0,4570,y,25
67,96,163Ho,0.29788,1.09,s,0.03
76,118,194Os,0,6,y,0.2
78,115,193Pt,0,50,y,6
78,115,193Pt,0.14978,4.33,d,0.03
80,114,194Hg,0,447,y,52
82,120,202Pb,0,5.25e+04,y,2.80e+03
82,120,202Pb,2.16985,3.54,h,0.02
82,128,210Pb,0,22.2,y,0.17
83,124,207Bi,0,31.22,y,0.17
83,125,208Bi,0,3.68e+05,y,4.00e+03
84,125,209Po,0,124,y,2.9
88,138,226Ra,0,1600,y,7
88,140,228Ra,0,5.75,y,0.03
89,138,227Ac,0,21.7725,y,0.0026
90,140,230Th,0,7.54e+04,y,3.00e+02
90,139,229Th,0,7907.5,y,20.1
91,140,231Pa,0,3.27e+04,y,2.09e+02
92,141,233U,0,1.59e+05,y,1.17e+02
92,140,232U,0,68.9,y,0.28
92,142,234U,0,2.46e+05,y,6.00e+02
93,143,236Np,0,1.55e+05,y,1.00e+03
93,143,236Np,0.057,22.5,h,0.4
94,148,242Pu,0,3.75e+05,y,2.00e+03
94,145,239Pu,0,2.41e+04,y,1.50e+01
94,144,238Pu,0,87.7,y,0.1
94,147,241Pu,0,14.329,y,0.029
94,146,240Pu,0,6562.2,y,5.8
95,146,241Am,0,432.6,y,0.6
95,148,243Am,0,7345,y,14
96,150,246Cm,0,4757,y,33
96,150,246Cm,1.1797,1.12,s,0.24
96,152,248Cm,0,3.48e+05,y,6.01e+03
96,147,243Cm,0,29.18,y,0.12
96,149,245Cm,0,8245,y,70
96,148,244Cm,0,18.112,y,0.025
96,154,250Cm,0,&asymp;8300,y,
97,150,247Bk,0,1380,y,250
97,151,248Bk,0+X,9,y,>
97,151,248Bk,0+X,23.7,h,0.2
98,153,251Cf,0,898,y,43
98,151,249Cf,0,350.7,y,2.0
98,152,250Cf,0,13.08,y,0.09
