Model: ,Oscilloscope DSO-X 2004A
Serial Number:,MY52491735
Address: ,USBInstrument2
Date: ,2026-03-02 13:10:28

Analog Sample Count:,625,

Setup Text Information:,
ANALOG,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,
Ch 1,,,,,,,,,,,,
Scale,50 mV/,,Sweep Mode,Auto,,Mode,MAIN,,Mode,HRES,,
Pos,0 V,,Coup,DC,,Ref,CENT,,Realtime,On,,
Coup,DC,,Noise Rej,Off,,Main Scale,500 µs/,,Vectors,On,,
BW,Off,,HF Rej,Off,,Main Delay,-2.05 ms,,Persistence,Off,,
Inv,Off,,Holdoff,40.0 ns,,,,,,,,
Imp,1M Ohm,,Mode,EDGE,,,,,,,,
Probe,1 : 1,,Source,Ch 2,,,,,,,,
Skew,0 s,,Slope,POS,,,,,,,,
,,,Level,1.0625 V,,,,,,,,

Analog Channels,,,,
Sample Number,Time (s),1 (VOLT),,
1,-0.004546875,0.0124371857964434,,
2,-0.004538875,0.0121859295177273,,
3,-0.004530875,0.0114321606815793,,
4,-0.004522875,0.0106783918454312,,
5,-0.004514875,0.0100502511486411,,
6,-0.004506875,0.00942211045185104,,
7,-0.004498875,0.00891959789441898,,
8,-0.004490875,0.00929648231249303,,
9,-0.004482875,0.00917085417313501,,
10,-0.004474875,0.00879396975506097,,
11,-0.004466875,0.00866834161570296,,
12,-0.004458875,0.00841708533698693,,
13,-0.004450875,0.00841708533698693,,
14,-0.004442875,0.00891959789441898,,
15,-0.004434875,0.00929648231249303,,
16,-0.004426875,0.00891959789441898,,
17,-0.004418875,0.00929648231249303,,
18,-0.004410875,0.00954773859120905,,
19,-0.004402875,0.0105527637060732,,
20,-0.004394875,0.0113065325422212,,
21,-0.004386875,0.0118090450996533,,
22,-0.004378875,0.0125628139358014,,
23,-0.004370875,0.0135678390506655,,
24,-0.004362875,0.0144472360261716,,
25,-0.004354875,0.0143216078868136,,
26,-0.004346875,0.0143216078868136,,
27,-0.004338875,0.0136934671900235,,
28,-0.004330875,0.0130653264932334,,
29,-0.004322875,0.0123115576570854,,
30,-0.004314875,0.0113065325422212,,
31,-0.004306875,0.0105527637060732,,
32,-0.004298875,0.0109296481241472,,
33,-0.004290875,0.0111809044028632,,
34,-0.004282875,0.0111809044028632,,
35,-0.004274875,0.0111809044028632,,
36,-0.004266875,0.0110552762635052,,
37,-0.004258875,0.0106783918454312,,
38,-0.004250875,0.0100502511486411,,
39,-0.004242875,0.0099246230092831,,
40,-0.004234875,0.0106783918454312,,
41,-0.004226875,0.0109296481241472,,
42,-0.004218875,0.0114321606815793,,
43,-0.004210875,0.0119346732390113,,
44,-0.004202875,0.0121859295177273,,
45,-0.004194875,0.0123115576570854,,
46,-0.004186875,0.0115577888209373,,
47,-0.004178875,0.0110552762635052,,
48,-0.004170875,0.0115577888209373,,
49,-0.004162875,0.0115577888209373,,
50,-0.004154875,0.0114321606815793,,
51,-0.004146875,0.0110552762635052,,
52,-0.004138875,0.0110552762635052,,
53,-0.004130875,0.0105527637060732,,
54,-0.004122875,0.00979899486992508,,
55,-0.004114875,0.0099246230092831,,
56,-0.004106875,0.00929648231249303,,
57,-0.004098875,0.00917085417313501,,
58,-0.004090875,0.00854271347634494,,
59,-0.004082875,0.00854271347634494,,
60,-0.004074875,0.00854271347634494,,
61,-0.004066875,0.00917085417313501,,
62,-0.004058875,0.00979899486992508,,
63,-0.004050875,0.0105527637060732,,
64,-0.004042875,0.0118090450996533,,
65,-0.004034875,0.0126884420751594,,
66,-0.004026875,0.0129396983538754,,
67,-0.004018875,0.0129396983538754,,
68,-0.004010875,0.0123115576570854,,
69,-0.004002875,0.0116834169602953,,
70,-0.003994875,0.0108040199847892,,
71,-0.003986875,0.0106783918454312,,
72,-0.003978875,0.0115577888209373,,
73,-0.003970875,0.0123115576570854,,
74,-0.003962875,0.0125628139358014,,
75,-0.003954875,0.0133165827719495,,
76,-0.003946875,0.0135678390506655,,
77,-0.003938875,0.0143216078868136,,
78,-0.003930875,0.0144472360261716,,
79,-0.003922875,0.0133165827719495,,
80,-0.003914875,0.0126884420751594,,
81,-0.003906875,0.0121859295177273,,
82,-0.003898875,0.0118090450996533,,
83,-0.003890875,0.0115577888209373,,
84,-0.003882875,0.0118090450996533,,
85,-0.003874875,0.0119346732390113,,
86,-0.003866875,0.0126884420751594,,
87,-0.003858875,0.0129396983538754,,
88,-0.003850875,0.0125628139358014,,
89,-0.003842875,0.0126884420751594,,
90,-0.003834875,0.0120603013783693,,
91,-0.003826875,0.0114321606815793,,
92,-0.003818875,0.0110552762635052,,
93,-0.003810875,0.0106783918454312,,
94,-0.003802875,0.0099246230092831,,
95,-0.003794875,0.00967336673056707,,
96,-0.003786875,0.0100502511486411,,
97,-0.003778875,0.0106783918454312,,
98,-0.003770875,0.0114321606815793,,
99,-0.003762875,0.0118090450996533,,
