Model: ,Oscilloscope DSO-X 2004A
Serial Number:,MY52491735
Address: ,USBInstrument2
Date: ,2026-03-02 12:54:59

Analog Sample Count:,892,

Setup Text Information:,
ANALOG,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,
Ch 1,,,,,,,,,,,,
Scale,10 mV/,,Sweep Mode,Auto,,Mode,MAIN,,Mode,HRES,,
Pos,0 V,,Coup,DC,,Ref,CENT,,Realtime,On,,
Coup,DC,,Noise Rej,Off,,Main Scale,500 µs/,,Vectors,On,,
BW,Off,,HF Rej,Off,,Main Delay,-3.05 ms,,Persistence,Off,,
Inv,Off,,Holdoff,40.0 ns,,,,,,,,
Imp,1M Ohm,,Mode,EDGE,,,,,,,,
Probe,1 : 1,,Source,Ch 2,,,,,,,,
Skew,0 s,,Slope,POS,,,,,,,,
,,,Level,1.0625 V,,,,,,,,

Analog Channels,,,,
Sample Number,Time (s),1 (VOLT),,
1,-0.005546875,0.0118090433898033,,
2,-0.005541275,0.0110050234143273,,
3,-0.005535675,0.0107035159235238,,
4,-0.005530075,0.0108542696689256,,
5,-0.005524475,0.0115075358989998,,
6,-0.005518875,0.0111055259112618,,
7,-0.005513275,0.0116582896444015,,
8,-0.005507675,0.0124623096198775,,
9,-0.005502075,0.0120602996321395,,
10,-0.005496475,0.0125125608683447,,
11,-0.005490875,0.012763817110681,,
12,-0.005485275,0.0121105508806068,,
13,-0.005479675,0.0115075358989998,,
14,-0.005474075,0.0118592946382705,,
15,-0.005468475,0.011155777159729,,
16,-0.005462875,0.0116582896444015,,
17,-0.005457275,0.0120602996321395,,
18,-0.005451675,0.012160802129074,,
19,-0.005446075,0.011959797135205,,
20,-0.005440475,0.0131155758499517,,
21,-0.005434875,0.013366832092288,,
22,-0.005429275,0.0137688420800259,,
23,-0.005423675,0.0140200983223622,,
24,-0.005418075,0.0142713545646984,,
25,-0.005412475,0.0138693445769604,,
26,-0.005406875,0.0134673345892224,,
27,-0.005401275,0.0136180883346242,,
28,-0.005395675,0.0142713545646984,,
29,-0.005390075,0.0140200983223622,,
30,-0.005384475,0.0150251232917071,,
31,-0.005378875,0.0149246207947726,,
32,-0.005373275,0.0152261282855761,,
33,-0.005367675,0.0149748720432399,,
34,-0.005362075,0.0150753745401744,,
35,-0.005356475,0.0148743695463054,,
36,-0.005350875,0.0147236158009036,,
37,-0.005345275,0.0143718570616329,,
38,-0.005339675,0.0139195958254277,,
39,-0.005334075,0.0137688420800259,,
40,-0.005328475,0.0137185908315587,,
41,-0.005322875,0.0145728620555019,,
42,-0.005317275,0.0144221083101002,,
43,-0.005311675,0.0151758770371089,,
44,-0.005306075,0.0151758770371089,,
45,-0.005300475,0.0155778870248469,,
46,-0.005294875,0.0159798970125848,,
47,-0.005289275,0.0149748720432399,,
48,-0.005283675,0.0152763795340434,,
49,-0.005278075,0.0158793945156503,,
50,-0.005272475,0.0158793945156503,,
51,-0.005266875,0.0155276357763796,,
52,-0.005261275,0.0157286407702486,,
53,-0.005255675,0.0156281382733141,,
54,-0.005250075,0.0165829119941918,,
55,-0.005244475,0.0163316557518556,,
56,-0.005238875,0.0156281382733141,,
57,-0.005233275,0.0157286407702486,,
58,-0.005227675,0.0157286407702486,,
59,-0.005222075,0.0158793945156503,,
60,-0.005216475,0.0150753745401744,,
61,-0.005210875,0.0151758770371089,,
62,-0.005205275,0.0144723595585674,,
63,-0.005199675,0.0139698470738949,,
64,-0.005194075,0.0135175858376897,,
65,-0.005188475,0.0132160783468862,,
66,-0.005182875,0.0127135658622137,,
67,-0.005177275,0.0132160783468862,,
68,-0.005171675,0.0131155758499517,,
69,-0.005166075,0.0128643196076155,,
70,-0.005160475,0.0135678370861569,,
71,-0.005154875,0.0128643196076155,,
72,-0.005149275,0.0136180883346242,,
73,-0.005143675,0.0140200983223622,,
74,-0.005138075,0.0145226108070347,,
75,-0.005132475,0.0141708520677639,,
76,-0.005126875,0.0147236158009036,,
77,-0.005121275,0.0143216058131657,,
78,-0.005115675,0.0144221083101002,,
79,-0.005110075,0.0151758770371089,,
80,-0.005104475,0.0151256257886416,,
81,-0.005098875,0.0147236158009036,,
82,-0.005093275,0.0145728620555019,,
83,-0.005087675,0.0144723595585674,,
84,-0.005082075,0.0141206008192967,,
85,-0.005076475,0.0136683395830914,,
86,-0.005070875,0.0137688420800259,,
87,-0.005065275,0.0139195958254277,,
88,-0.005059675,0.0134170833407552,,
89,-0.005054075,0.0135678370861569,,
90,-0.005048475,0.0139698470738949,,
91,-0.005042875,0.0140703495708294,,
92,-0.005037275,0.013366832092288,,
93,-0.005031675,0.0151256257886416,,
94,-0.005026075,0.0151758770371089,,
95,-0.005020475,0.0160301482610521,,
96,-0.005014875,0.0165326607457246,,
97,-0.005009275,0.0164824094972573,,
98,-0.005003675,0.0171356757273315,,
99,-0.004998075,0.0171859269757988,,
100,-0.004992475,0.0182914544420782,,
101,-0.004986875,0.0178894444543403,,
102,-0.004981275,0.0179396957028075,,
103,-0.004975675,0.0181407006966765,,
104,-0.004970075,0.0183417056905455,,
105,-0.004964475,0.017638188212004,,
106,-0.004958875,0.0177889419574058,,
107,-0.004953275,0.0175376857150695,,
108,-0.004947675,0.0183417056905455,,
109,-0.004942075,0.017437183218135,,
110,-0.004936475,0.0173366807212005,,
111,-0.004930875,0.017236178224266,,
112,-0.004925275,0.0164824094972573,,
113,-0.004919675,0.0166834144911263,,
114,-0.004914075,0.0162311532549211,,
115,-0.004908475,0.0162814045033883,,
116,-0.004902875,0.0162814045033883,,
117,-0.004897275,0.0163316557518556,,
118,-0.004891675,0.0159798970125848,,
119,-0.004886075,0.0159798970125848,,
120,-0.004880475,0.0162311532549211,,
121,-0.004874875,0.0161809020064538,,
122,-0.004869275,0.0160301482610521,,
