Model: ,Oscilloscope DSO-X 2004A
Serial Number:,MY52491735
Address: ,USBInstrument2
Date: ,2026-03-02 12:57:09

Analog Sample Count:,833,

Setup Text Information:,
ANALOG,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,
Ch 1,,,,,,,,,,,,
Scale,10 mV/,,Sweep Mode,Auto,,Mode,MAIN,,Mode,HRES,,
Pos,0 V,,Coup,DC,,Ref,CENT,,Realtime,On,,
Coup,DC,,Noise Rej,Off,,Main Scale,1 ms/,,Vectors,On,,
BW,Off,,HF Rej,Off,,Main Delay,-3 ms,,Persistence,Off,,
Inv,Off,,Holdoff,40.0 ns,,,,,,,,
Imp,1M Ohm,,Mode,EDGE,,,,,,,,
Probe,1 : 1,,Source,Ch 2,,,,,,,,
Skew,0 s,,Slope,POS,,,,,,,,
,,,Level,1.0625 V,,,,,,,,

Analog Channels,,,,
Sample Number,Time (s),1 (VOLT),,
1,-0.008,0.0201507564706844,,
2,-0.007988,0.0204522640487994,,
3,-0.007976,0.0206783947323856,,
4,-0.007964,0.0205527665748377,,
5,-0.007952,0.0207286459954048,,
6,-0.00794,0.0207286459954048,,
7,-0.007928,0.0204020127857802,,
8,-0.007916,0.0197738719980407,,
9,-0.007904,0.0195226156829449,,
10,-0.007892,0.0195979925774736,,
11,-0.00788,0.0202512589967228,,
12,-0.007868,0.019698495103512,,
13,-0.007856,0.0194723644199257,,
14,-0.007844,0.0195477413144545,,
15,-0.007832,0.0188944748952053,,
16,-0.00782,0.0189949774212437,,
17,-0.007808,0.0197738719980407,,
18,-0.007796,0.0206281434693665,,
19,-0.007784,0.020778897258424,,
20,-0.007772,0.0209045254159719,,
21,-0.00776,0.0217085456242785,,
22,-0.007748,0.0217085456242785,,
23,-0.007736,0.0210050279420102,,
24,-0.007724,0.0187688467376574,,
25,-0.007712,0.0179145752663317,,
26,-0.0077,0.0173618113731209,,
27,-0.007688,0.0172613088470825,,
28,-0.007676,0.0178140727402933,,
29,-0.007664,0.018316585370485,,
30,-0.007652,0.018316585370485,,
31,-0.00764,0.0185427160540712,,
32,-0.007628,0.0192713593678491,,
33,-0.007616,0.0191708568418107,,
34,-0.007604,0.0174874395306688,,
35,-0.007592,0.0164572886387759,,
36,-0.00758,0.0164070373757568,,
37,-0.007568,0.0163065348497184,,
38,-0.007556,0.0173115601101017,,
39,-0.007544,0.0175879420567071,,
40,-0.007532,0.01801507779237,,
41,-0.00752,0.0182160828444466,,
42,-0.007508,0.0178140727402933,,
43,-0.007496,0.0179145752663317,,
44,-0.007484,0.0180904546868987,,
45,-0.007472,0.0183919622650137,,
46,-0.00746,0.0191206055787916,,
47,-0.007448,0.0192964849993587,,
48,-0.007436,0.0192462337363395,,
49,-0.007424,0.0186432185801095,,
50,-0.007412,0.0176884445827454,,
51,-0.0074,0.0179648265293508,,
52,-0.007388,0.017713570214255,,
53,-0.007376,0.0179648265293508,,
54,-0.007364,0.0177889471087838,,
55,-0.007352,0.0175879420567071,,
56,-0.00734,0.0179397008978412,,
57,-0.007328,0.0182412084759562,,
58,-0.007316,0.0187185954746383,,
59,-0.007304,0.0185929673170904,,
60,-0.007292,0.0186683442116191,,
61,-0.00728,0.0194723644199257,,
62,-0.007268,0.0193467362623778,,
63,-0.007256,0.0185175904225616,,
64,-0.007244,0.0176884445827454,,
65,-0.007232,0.0179397008978412,,
66,-0.00722,0.0190452286842628,,
67,-0.007208,0.0189196005267149,,
68,-0.007196,0.0185929673170904,,
69,-0.007184,0.0178391983718029,,
70,-0.007172,0.0170351781634963,,
71,-0.00716,0.0171608063210442,,
72,-0.007148,0.0167587962168909,,
73,-0.007136,0.0167085449538718,,
74,-0.007124,0.0165075399017951,,
75,-0.007112,0.0162814092182089,,
76,-0.0071,0.0167085449538718,,
77,-0.007088,0.0175879420567071,,
78,-0.007076,0.0179899521608604,,
79,-0.007064,0.0173366857416113,,
80,-0.007052,0.0174371882676496,,
81,-0.00704,0.0178391983718029,,
82,-0.007028,0.0176381933197263,,
83,-0.007016,0.0168844243744388,,
84,-0.007004,0.016155781060661,,
85,-0.006992,0.0158793991140556,,
86,-0.00698,0.016030152903113,,
87,-0.006968,0.0161809066921705,,
88,-0.006956,0.0159296503770747,,
89,-0.006944,0.015251258326316,,
90,-0.006932,0.0150251276427298,,
91,-0.00692,0.0160050272716035,,
92,-0.006908,0.0164824142702855,,
93,-0.006896,0.0168592987429292,,
94,-0.006884,0.0164824142702855,,
95,-0.006872,0.0163819117442472,,
96,-0.00686,0.0162311579551897,,
97,-0.006848,0.0151758814317873,,
98,-0.006836,0.0143718612234807,,
99,-0.006824,0.0136180922781932,,
100,-0.006812,0.0135678410151741,,
101,-0.0068,0.0144472381180094,,
102,-0.006788,0.0152763839578256,,
103,-0.006776,0.0156532684304693,,
104,-0.006764,0.0161306554291514,,
105,-0.006752,0.0159296503770747,,
106,-0.00674,0.015552765904431,,
107,-0.006728,0.0148994994851819,,
108,-0.006716,0.014170856171404,,
109,-0.006704,0.0138442229617795,,
110,-0.006692,0.013391961594607,,
111,-0.00668,0.0132412078055495,,
112,-0.006668,0.0140201023823465,,
113,-0.006656,0.0135427153836645,,
114,-0.006644,0.0130402027534728,,
115,-0.006632,0.0128140720698866,,
116,-0.00662,0.0134924641206453,,
117,-0.006608,0.0141959818029136,,
118,-0.006596,0.0140452280138561,,
119,-0.006584,0.014472363749519,,
120,-0.006572,0.0145728662755573,,
121,-0.00656,0.0148743738536723,,
122,-0.006548,0.0149748763797106,,
123,-0.006536,0.015251258326316,,
124,-0.006524,0.0146733688015956,,
125,-0.006512,0.0148241225906531,,
126,-0.0065,0.0148994994851819,,
127,-0.006488,0.015251258326316,,
128,-0.006476,0.0153768864838639,,
129,-0.006464,0.0155276402729214,,
130,-0.006452,0.0148994994851819,,
131,-0.00644,0.0134924641206453,,
132,-0.006428,0.0132914590685687,,
133,-0.006416,0.0128391977013962,,
134,-0.006404,0.0131909565425303,,
135,-0.006392,0.0137688460672507,,
136,-0.00638,0.0144974893810286,,
137,-0.006368,0.0153015095893352,,
138,-0.006356,0.0153015095893352,,
139,-0.006344,0.0152010070632969,,
140,-0.006332,0.0145477406440477,,
141,-0.00632,0.0142462330659328,,
142,-0.006308,0.014472363749519,,
143,-0.006296,0.0142462330659328,,
144,-0.006284,0.0143969868549902,,
145,-0.006272,0.0150753789057489,,
146,-0.00626,0.0148492482221627,,
147,-0.006248,0.0148743738536723,,
148,-0.006236,0.0140954792768753,,
149,-0.006224,0.0143718612234807,,
150,-0.006212,0.0139949767508369,,
151,-0.0062,0.0143216099604615,,
152,-0.006188,0.0143467355919711,,
153,-0.006176,0.0144472381180094,,
154,-0.006164,0.0142713586974423,,
155,-0.006152,0.0152763839578256,,
156,-0.00614,0.016155781060661,,
157,-0.006128,0.0163567861127376,,
158,-0.006116,0.0166582936908526,,
159,-0.006104,0.0166582936908526,,
160,-0.006092,0.0158793991140556,,
161,-0.00608,0.0161306554291514,,
162,-0.006068,0.0158793991140556,,
163,-0.006056,0.0156783940619789,,
164,-0.006044,0.0150753789057489,,
165,-0.006032,0.0142964843289519,,
166,-0.00602,0.0139949767508369,,
167,-0.006008,0.0131407052795112,,
168,-0.005996,0.013090454016492,,
169,-0.005984,0.0130150771219633,,
170,-0.005972,0.0131658309110207,,
171,-0.00596,0.013693469172722,,
172,-0.005948,0.0146482431700861,,
173,-0.005936,0.0147989969591436,,
174,-0.005924,0.0157035196934885,,
175,-0.005912,0.0163567861127376,,
176,-0.0059,0.0161809066921705,,
177,-0.005888,0.0150753789057489,,
178,-0.005876,0.013693469172722,,
179,-0.005864,0.012487438860262,,
180,-0.005852,0.0117839211779938,,
181,-0.00584,0.0120603031245992,,
182,-0.005828,0.0132663334370591,,
183,-0.005816,0.0142462330659328,,
184,-0.005804,0.0150502532742394,,
185,-0.005792,0.0155025146414118,,
186,-0.00578,0.0162060323236801,,
187,-0.005768,0.0156532684304693,,
188,-0.005756,0.0150753789057489,,
189,-0.005744,0.0148492482221627,,
190,-0.005732,0.0146733688015956,,
191,-0.00572,0.0142713586974423,,
192,-0.005708,0.0136432179097028,,
193,-0.005696,0.0131658309110207,,
194,-0.005684,0.0133417103315878,,
195,-0.005672,0.0131407052795112,,
196,-0.00566,0.0132412078055495,,
197,-0.005648,0.0137437204357411,,
198,-0.005636,0.014472363749519,,
199,-0.005624,0.0155025146414118,,
200,-0.005612,0.0152010070632969,,
201,-0.0056,0.0155025146414118,,
202,-0.005588,0.0152763839578256,,
203,-0.005576,0.014170856171404,,
204,-0.005564,0.0130653283849824,,
205,-0.005552,0.0130653283849824,,
206,-0.00554,0.0132914590685687,,
207,-0.005528,0.0132914590685687,,
208,-0.005516,0.0133417103315878,,
209,-0.005504,0.0136432179097028,,
210,-0.005492,0.0132914590685687,,
211,-0.00548,0.0134170872261166,,
212,-0.005468,0.0133668359630974,,
213,-0.005456,0.0130402027534728,,
214,-0.005444,0.0123366850712046,,
215,-0.005432,0.0120351774930896,,
216,-0.00542,0.0120351774930896,,
217,-0.005408,0.0120603031245992,,
