Model: ,Oscilloscope DSO-X 2004A
Serial Number:,MY52491735
Address: ,USBInstrument2
Date: ,2026-03-02 13:00:25

Analog Sample Count:,833,

Setup Text Information:,
ANALOG,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,
Ch 1,,,,,,,,,,,,
Scale,10 mV/,,Sweep Mode,Auto,,Mode,MAIN,,Mode,HRES,,
Pos,0 V,,Coup,DC,,Ref,CENT,,Realtime,On,,
Coup,DC,,Noise Rej,Off,,Main Scale,1 ms/,,Vectors,On,,
BW,Off,,HF Rej,Off,,Main Delay,-3.8 ms,,Persistence,Off,,
Inv,Off,,Holdoff,40.0 ns,,,,,,,,
Imp,1M Ohm,,Mode,EDGE,,,,,,,,
Probe,1 : 1,,Source,Ch 2,,,,,,,,
Skew,0 s,,Slope,POS,,,,,,,,
,,,Level,1.0625 V,,,,,,,,

Analog Channels,,,,
Sample Number,Time (s),1 (VOLT),,
1,-0.008796875,0.0211055304680485,,
2,-0.008784875,0.0215326662037114,,
3,-0.008772875,0.0213567867831443,,
4,-0.008760875,0.0218341737818264,,
5,-0.008748875,0.0217085456242785,,
6,-0.008736875,0.0216582943612593,,
7,-0.008724875,0.0211557817310677,,
8,-0.008712875,0.0214321636776731,,
9,-0.008700875,0.0210552792050294,,
10,-0.008688875,0.0218090481503168,,
11,-0.008676875,0.0225376914640947,,
12,-0.008664875,0.0232914604093821,,
13,-0.008652875,0.0241457318807079,,
14,-0.008640875,0.0246482445108995,,
15,-0.008628875,0.0248743751944858,,
16,-0.008616875,0.0250000033520337,,
17,-0.008604875,0.0246984957739187,,
18,-0.008592875,0.0242713600382558,,
19,-0.008580875,0.0242462344067462,,
20,-0.008568875,0.0240703549861792,,
21,-0.008556875,0.0241959831437271,,
22,-0.008544875,0.0241457318807079,,
23,-0.008532875,0.0252010084041103,,
24,-0.008520875,0.0247487470369379,,
25,-0.008508875,0.0246984957739187,,
26,-0.008496875,0.0239949780916504,,
27,-0.008484875,0.0234924654614588,,
28,-0.008472875,0.0220854300969222,,
29,-0.008460875,0.020778897258424,,
30,-0.008448875,0.0206030178378569,,
31,-0.008436875,0.020778897258424,,
32,-0.008424875,0.0216080430982402,,
33,-0.008412875,0.0226884452531522,,
34,-0.008400875,0.0240452293546696,,
35,-0.008388875,0.0243467369327846,,
36,-0.008376875,0.0236683448820258,,
37,-0.008364875,0.0225628170956043,,
38,-0.008352875,0.022035178833903,,
39,-0.008340875,0.0214824149406923,,
40,-0.008328875,0.0209296510474815,,
41,-0.008316875,0.0204522640487994,,
42,-0.008304875,0.0201507564706844,,
43,-0.008292875,0.019874374524079,,
44,-0.008280875,0.0203266358912515,,
45,-0.008268875,0.0214321636776731,,
46,-0.008256875,0.0217085456242785,,
47,-0.008244875,0.0211055304680485,,
48,-0.008232875,0.020954776678991,,
49,-0.008220875,0.0210804048365389,,
50,-0.008208875,0.021859299413336,,
51,-0.008196875,0.022160806991451,,
52,-0.008184875,0.0231155809888151,,
53,-0.008172875,0.0235175910929684,,
54,-0.008160875,0.0239949780916504,,
55,-0.008148875,0.0226633196216426,,
56,-0.008136875,0.0214824149406923,,
57,-0.008124875,0.020954776678991,,
58,-0.008112875,0.0205778922063473,,
59,-0.008100875,0.020778897258424,,
60,-0.008088875,0.0212814098886156,,
61,-0.008076875,0.0217587968872976,,
62,-0.008064875,0.0223869376750372,,
63,-0.008052875,0.0226633196216426,,
64,-0.008040875,0.0222613095174893,,
65,-0.008028875,0.0219095506763551,,
66,-0.008016875,0.0226633196216426,,
67,-0.008004875,0.0219849275708839,,
68,-0.007992875,0.0217587968872976,,
69,-0.007980875,0.0214572893091827,,
70,-0.007968875,0.0219849275708839,,
71,-0.007956875,0.0219598019393743,,
72,-0.007944875,0.0216834199927689,,
73,-0.007932875,0.0225879427271138,,
74,-0.007920875,0.0231407066203246,,
75,-0.007908875,0.0238944755656121,,
76,-0.007896875,0.0240703549861792,,
77,-0.007884875,0.024321611301275,,
78,-0.007872875,0.0236934705135354,,
79,-0.007860875,0.0232160835148534,,
80,-0.007848875,0.023241209146363,,
81,-0.007836875,0.0229145759367384,,
82,-0.007824875,0.0218844250448456,,
83,-0.007812875,0.0208542741529527,,
84,-0.007800875,0.020954776678991,,
85,-0.007788875,0.0214321636776731,,
86,-0.007776875,0.0213819124146539,,
87,-0.007764875,0.0219095506763551,,
88,-0.007752875,0.0222110582544701,,
89,-0.007740875,0.0225125658325851,,
90,-0.007728875,0.0221859326229605,,
91,-0.007716875,0.0212060329940869,,
92,-0.007704875,0.0209799023105006,,
93,-0.007692875,0.0210301535735198,,
94,-0.007680875,0.0221356813599414,,
95,-0.007668875,0.0223115607805084,,
96,-0.007656875,0.0226130683586234,,
97,-0.007644875,0.0230402040942863,,
98,-0.007632875,0.0230402040942863,,
99,-0.007620875,0.0227889477791905,,
100,-0.007608875,0.0222361838859797,,
