Model: ,Oscilloscope DSO-X 2004A
Serial Number:,MY52491735
Address: ,USBInstrument2
Date: ,2026-03-02 12:35:03

Analog Sample Count:,640,

Setup Text Information:,
ANALOG,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,
Ch 1,,,,,,,,,,,,
Scale,100 mV/,,Sweep Mode,Auto,,Mode,MAIN,,Mode,HRES,,
Pos,0 V,,Coup,DC,,Ref,CENT,,Realtime,On,,
Coup,DC,,Noise Rej,Off,,Main Scale,120 µs/,,Vectors,On,,
BW,Off,,HF Rej,Off,,Main Delay,-2.766 ms,,Persistence,Off,,
Inv,Off,,Holdoff,40.0 ns,,,,,,,,
Imp,1M Ohm,,Mode,EDGE,,,,,,,,
Probe,1 : 1,,Source,Ch 2,,,,,,,,
Skew,0 s,,Slope,POS,,,,,,,,
,,,Level,1.0625 V,,,,,,,,

Analog Channels,,,,
Sample Number,Time (s),1 (VOLT),,
1,-0.003365625,-0.0314070384774823,,
2,-0.00336375,-0.0316582947853021,,
3,-0.003361875,-0.0314070384774823,,
4,-0.00336,-0.0311557821696624,,
5,-0.003358125,-0.0311557821696624,,
6,-0.00335625,-0.0314070384774823,,
7,-0.003354375,-0.0316582947853021,,
8,-0.0033525,-0.0316582947853021,,
9,-0.003350625,-0.0316582947853021,,
10,-0.00334875,-0.031909551093122,,
11,-0.003346875,-0.031909551093122,,
12,-0.003345,-0.031909551093122,,
13,-0.003343125,-0.0316582947853021,,
14,-0.00334125,-0.0314070384774823,,
15,-0.003339375,-0.031909551093122,,
16,-0.0033375,-0.0316582947853021,,
17,-0.003335625,-0.0316582947853021,,
18,-0.00333375,-0.0314070384774823,,
19,-0.003331875,-0.0314070384774823,,
20,-0.00333,-0.0314070384774823,,
21,-0.003328125,-0.0309045258618426,,
22,-0.00332625,-0.0314070384774823,,
23,-0.003324375,-0.0304020132462028,,
24,-0.0033225,-0.030150756938383,,
25,-0.003320625,-0.0298995006305631,,
26,-0.00331875,-0.0291457317071036,,
27,-0.003316875,-0.0293969880149234,,
28,-0.003315,-0.0286432190914638,,
29,-0.003313125,-0.028391962783644,,
30,-0.00331125,-0.028391962783644,,
31,-0.003309375,-0.0281407064758241,,
32,-0.0033075,-0.028391962783644,,
33,-0.003305625,-0.028391962783644,,
34,-0.00330375,-0.028391962783644,,
35,-0.003301875,-0.028391962783644,,
36,-0.0033,-0.028391962783644,,
37,-0.003298125,-0.0286432190914638,,
38,-0.00329625,-0.0288944753992837,,
39,-0.003294375,-0.0296482443227433,,
40,-0.0032925,-0.0298995006305631,,
41,-0.003290625,-0.0306532695540227,,
42,-0.00328875,-0.0311557821696624,,
43,-0.003286875,-0.031909551093122,,
44,-0.003285,-0.0321608074009418,,
45,-0.003283125,-0.0334170889400411,,
46,-0.00328125,-0.0344221141713206,,
47,-0.003279375,-0.0349246267869603,,
48,-0.0032775,-0.0359296520182397,,
49,-0.003275625,-0.0359296520182397,,
50,-0.00327375,-0.0364321646338794,,
