Model: ,Oscilloscope DSO-X 2004A
Serial Number:,MY52491735
Address: ,USBInstrument2
Date: ,2026-02-25 14:23:03

Analog Sample Count:,960,

Setup Text Information:,
ANALOG,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,MEASUREMENTS,,,,,,,,,,,,
Ch 1,,,,,,,,,,,,Frequency(1),,,Frequency(2),,,Pk-Pk(2),,,Pk-Pk(1),,,
Scale,100 mV/,,Sweep Mode,Auto,,Mode,MAIN,,Mode,HRES,,Cur,No signal,,Cur,No signal,,Cur,No signal,,Cur,0.239,,
Pos,0 V,,Coup,DC,,Ref,CENT,,Realtime,On,,,,,,,,,,,,,,
Coup,DC,,Noise Rej,Off,,Main Scale,200 µs/,,Vectors,On,,,,,,,,,,,,,,
BW,Off,,HF Rej,Off,,Main Delay,0 s,,Persistence,Off,,,,,,,,,,,,,,
Inv,Off,,Holdoff,40.0 ns,,,,,,,,,,,,,,,,,,,,
Imp,1M Ohm,,Mode,EDGE,,,,,,,,,,,,,,,,,,,,
Probe,1 : 1,,Source,Ch 2,,,,,,,,,,,,,,,,,,,,
Skew,0 s,,Slope,POS,,,,,,,,,,,,,,,,,,,,
,,,Level,-82.5 mV,,,,,,,,,,,,,,,,,,,,

Analog Channels,,,,
Sample Number,Time (s),1 (VOLT),,
1,-0.001,-0.00276381938601844,,
2,-0.0009979166675,-0.00175879415473901,,
3,-0.000995833335,-0.00251256307819858,,
4,-0.0009937500025,-0.00201005046255887,,
5,-0.00099166667,-0.0030150756938383,,
6,-0.0009895833375,-0.00201005046255887,,
7,-0.000987500005,-0.0030150756938383,,
8,-0.0009854166725,-0.00251256307819858,,
9,-0.00098333334,-0.00175879415473901,,
10,-0.0009812500075,-0.00251256307819858,,
11,-0.000979166675,-0.00326633200165816,,
12,-0.0009770833425,-0.00376884461729787,,
13,-0.00097500001,-0.00376884461729787,,
14,-0.0009729166775,-0.00351758830947801,,
15,-0.000970833345,-0.00376884461729787,,
16,-0.0009687500125,-0.00326633200165816,,
17,-0.00096666668,-0.00452261354075745,,
18,-0.0009645833475,-0.00477386984857731,,
19,-0.000962500015,-0.00527638246421702,,
20,-0.0009604166825,-0.00452261354075745,,
21,-0.00095833335,-0.0060301513876766,,
22,-0.0009562500175,-0.00577889507985674,,
23,-0.000954166685,-0.00703517661895603,,
24,-0.0009520833525,-0.00753768923459575,,
25,-0.00095000002,-0.00753768923459575,,
26,-0.0009479166875,-0.0077889455424156,,
27,-0.000945833355,-0.00753768923459575,,
28,-0.0009437500225,-0.00854271446587518,,
29,-0.00094166669,-0.00854271446587518,,
30,-0.0009395833575,-0.00979899600497447,,
31,-0.000937500025,-0.0100502523127943,,
32,-0.0009354166925,-0.0103015086206142,,
33,-0.00093333336,-0.0108040212362539,,
34,-0.0009312500275,-0.0108040212362539,,
35,-0.000929166695,-0.0123115590831731,,
36,-0.0009270833625,-0.0123115590831731,,
37,-0.00092500003,-0.0120603027753532,,
38,-0.0009229166975,-0.0135678406222723,,
39,-0.000920833365,-0.0140703532379121,,
40,-0.0009187500325,-0.0143216095457319,,
41,-0.0009166667,-0.0140703532379121,,
42,-0.0009145833675,-0.0155778910848312,,
43,-0.000912500035,-0.0158291473926511,,
44,-0.0009104167025,-0.0165829163161106,,
45,-0.00090833337,-0.0173366852395702,,
46,-0.0009062500375,-0.0185929667786695,,
47,-0.000904166705,-0.0188442230864894,,
48,-0.0009020833725,-0.0203517609334085,,
49,-0.00090000004,-0.0211055298568681,,
50,-0.0008979167075,-0.0208542735490482,,
51,-0.000895833375,-0.0223618113959674,,
52,-0.0008937500425,-0.0226130677037872,,
53,-0.00089166671,-0.0236180929350667,,
54,-0.0008895833775,-0.0241206055507064,,
55,-0.000887500045,-0.0253768870898057,,
56,-0.0008854167125,-0.0263819123210851,,
57,-0.00088333338,-0.0273869375523645,,
58,-0.0008812500475,-0.0276381938601844,,
59,-0.000879166715,-0.0291457317071036,,
60,-0.0008770833825,-0.0291457317071036,,
61,-0.00087500005,-0.0314070384774823,,
62,-0.0008729167175,-0.0314070384774823,,
63,-0.000870833385,-0.0321608074009418,,
64,-0.0008687500525,-0.0331658326322213,,
65,-0.00086666672,-0.0339196015556809,,
66,-0.0008645833875,-0.0346733704791404,,
67,-0.000862500055,-0.0361809083260596,,
68,-0.0008604167225,-0.0374371898651589,,
69,-0.00085833339,-0.0374371898651589,,
70,-0.0008562500575,-0.0394472403277177,,
71,-0.000854166725,-0.0409547781746369,,
72,-0.0008520833925,-0.0409547781746369,,
73,-0.00085000006,-0.0432160849450156,,
74,-0.0008479167275,-0.0437185975606553,,
75,-0.000845833395,-0.0452261354075745,,
76,-0.0008437500625,-0.045979904331034,,
77,-0.00084166673,-0.0474874421779532,,
78,-0.0008395833975,-0.0484924674092326,,
79,-0.000837500065,-0.0500000052561518,,
80,-0.0008354167325,-0.0505025178717915,,
81,-0.0008333334,-0.0522613120265305,,
82,-0.0008312500675,-0.0535175935656298,,
83,-0.000829166735,-0.0550251314125489,,
84,-0.0008270834025,-0.0565326692594681,,
85,-0.00082500007,-0.0572864381829277,,
86,-0.0008229167375,-0.0592964886454865,,
87,-0.000820833405,-0.0605527701845858,,
88,-0.0008187500725,-0.0623115643393248,,
89,-0.00081666674,-0.0645728711097036,,
90,-0.0008145834075,-0.0635678458784241,,
91,-0.000812500075,-0.0665829215722624,,
92,-0.0008104167425,-0.0670854341879021,,
93,-0.00080833341,-0.069095484650461,,
94,-0.0008062500775,-0.0703517661895603,,
95,-0.000804166745,-0.0721105603442993,,
96,-0.0008020834125,-0.0738693544990383,,
97,-0.00080000008,-0.0738693544990383,,
98,-0.0007979167475,-0.0751256360381376,,
99,-0.000795833415,-0.076130661269417,,
100,-0.0007937500825,-0.077889455424156,,
101,-0.00079166675,-0.0786432243476156,,
102,-0.0007895834175,-0.0783919680397958,,
103,-0.000787500085,-0.0806532748101745,,
104,-0.0007854167525,-0.0814070437336341,,
105,-0.00078333342,-0.0831658378883731,,
106,-0.0007812500875,-0.0846733757352922,,
107,-0.000779166755,-0.0856784009665716,,
108,-0.0007770834225,-0.0864321698900312,,
109,-0.00077500009,-0.0876884514291305,,
110,-0.0007729167575,-0.0891959892760497,,
111,-0.000770833425,-0.0899497581995092,,
112,-0.0007687500925,-0.0902010145073291,,
113,-0.00076666676,-0.0924623212777078,,
114,-0.0007645834275,-0.0929648338933475,,
115,-0.000762500095,-0.0949748843559064,,
116,-0.0007604167625,-0.095728653279366,,
117,-0.00075833343,-0.0964824222028255,,
118,-0.0007562500975,-0.0964824222028255,,
119,-0.000754166765,-0.0982412163575646,,
120,-0.0007520834325,-0.0987437289732043,,
121,-0.0007500001,-0.100502523127943,,
122,-0.0007479167675,-0.101005035743583,,
123,-0.000745833435,-0.102512573590502,,
124,-0.0007437501025,-0.103015086206142,,
125,-0.00074166677,-0.104271367745241,,
126,-0.0007395834375,-0.104522624053061,,
127,-0.000737500105,-0.10577890559216,,
128,-0.0007354167725,-0.1062814182078,,
129,-0.00073333344,-0.108040212362539,,
130,-0.0007312501075,-0.107788956054719,,
131,-0.000729166775,-0.108291468670359,,
132,-0.0007270834425,-0.108793981285999,,
133,-0.00072500011,-0.109045237593818,,
134,-0.0007229167775,-0.109547750209458,,
135,-0.000720833445,-0.109547750209458,,
136,-0.0007187501125,-0.109296493901638,,
137,-0.00071666678,-0.109799006517278,,
138,-0.0007145834475,-0.109547750209458,,
139,-0.000712500115,-0.109799006517278,,
140,-0.0007104167825,-0.109547750209458,,
141,-0.00070833345,-0.108291468670359,,
142,-0.0007062501175,-0.108291468670359,,
143,-0.000704166785,-0.108291468670359,,
144,-0.0007020834525,-0.10678393082344,,
145,-0.00070000012,-0.1062814182078,,
146,-0.0006979167875,-0.10577890559216,,
147,-0.000695833455,-0.104773880360881,,
148,-0.0006937501225,-0.103517598821782,,
