Model: ,Oscilloscope DSO-X 2004A
Serial Number:,MY52491735
Address: ,USBInstrument2
Date: ,2026-02-25 14:27:30

Analog Sample Count:,640,

Setup Text Information:,
ANALOG,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,MEASUREMENTS,,,,,,,,,,,,
Ch 1,,,,,,,,,,,,Frequency(1),,,Frequency(2),,,Pk-Pk(2),,,Pk-Pk(1),,,
Scale,100 mV/,,Sweep Mode,Auto,,Mode,MAIN,,Mode,HRES,,Cur,No signal,,Cur,No signal,,Cur,No signal,,Cur,0.126,,
Pos,0 V,,Coup,DC,,Ref,CENT,,Realtime,On,,,,,,,,,,,,,,
Coup,DC,,Noise Rej,Off,,Main Scale,200 µs/,,Vectors,On,,,,,,,,,,,,,,
BW,Off,,HF Rej,Off,,Main Delay,-252 µs,,Persistence,Off,,,,,,,,,,,,,,
Inv,Off,,Holdoff,40.0 ns,,,,,,,,,,,,,,,,,,,,
Imp,1M Ohm,,Mode,EDGE,,,,,,,,,,,,,,,,,,,,
Probe,1 : 1,,Source,Ch 2,,,,,,,,,,,,,,,,,,,,
Skew,0 s,,Slope,POS,,,,,,,,,,,,,,,,,,,,
,,,Level,-82.5 mV,,,,,,,,,,,,,,,,,,,,

Analog Channels,,,,
Sample Number,Time (s),1 (VOLT),,
1,-0.001253125,0.00376884461729787,,
2,-0.00125,0.00376884461729787,,
3,-0.001246875,0.00326633200165816,,
4,-0.00124375,0.00326633200165816,,
5,-0.001240625,0.00351758830947801,,
6,-0.0012375,0.0030150756938383,,
7,-0.001234375,0.0030150756938383,,
8,-0.00123125,0.00276381938601844,,
9,-0.001228125,0.00276381938601844,,
10,-0.001225,0.00251256307819858,,
11,-0.001221875,0.00276381938601844,,
12,-0.00121875,0.00226130677037872,,
13,-0.001215625,0.00201005046255887,,
14,-0.0012125,0.00201005046255887,,
15,-0.001209375,0.00175879415473901,,
16,-0.00120625,0.00175879415473901,,
17,-0.001203125,0.00150753784691915,,
18,-0.0012,0.00150753784691915,,
19,-0.001196875,0.00150753784691915,,
20,-0.00119375,0.00150753784691915,,
21,-0.001190625,0.00150753784691915,,
22,-0.0011875,0.00100502523127943,,
23,-0.001184375,0.00100502523127943,,
24,-0.00118125,0.000753768923459575,,
25,-0.001178125,0.000251256307819858,,
26,-0.001175,0,,
27,-0.001171875,0,,
28,-0.00116875,0,,
29,-0.001165625,-0.000502512615639716,,
30,-0.0011625,-0.000753768923459575,,
31,-0.001159375,-0.000753768923459575,,
32,-0.00115625,-0.000753768923459575,,
33,-0.001153125,-0.00125628153909929,,
34,-0.00115,-0.00175879415473901,,
35,-0.001146875,-0.00201005046255887,,
36,-0.00114375,-0.00226130677037872,,
37,-0.001140625,-0.00226130677037872,,
38,-0.0011375,-0.00276381938601844,,
39,-0.001134375,-0.00326633200165816,,
40,-0.00113125,-0.00376884461729787,,
41,-0.001128125,-0.00376884461729787,,
42,-0.001125,-0.00402010092511773,,
43,-0.001121875,-0.00477386984857731,,
44,-0.00111875,-0.00552763877203688,,
45,-0.001115625,-0.0060301513876766,,
46,-0.0011125,-0.00628140769549645,,
47,-0.001109375,-0.00678392031113617,,
48,-0.00110625,-0.00753768923459575,,
49,-0.001103125,-0.00804020185023546,,
50,-0.0011,-0.00829145815805532,,
51,-0.001096875,-0.00829145815805532,,
52,-0.00109375,-0.0090452270815149,,
53,-0.001090625,-0.00929648338933475,,
54,-0.0010875,-0.00979899600497447,,
55,-0.001084375,-0.0100502523127943,,
56,-0.00108125,-0.0103015086206142,,
57,-0.001078125,-0.0108040212362539,,
58,-0.001075,-0.0120603027753532,,
59,-0.001071875,-0.0123115590831731,,
60,-0.00106875,-0.0123115590831731,,
61,-0.001065625,-0.0130653280066326,,
62,-0.0010625,-0.0140703532379121,,
63,-0.001059375,-0.0143216095457319,,
64,-0.00105625,-0.0143216095457319,,
65,-0.001053125,-0.0153266347770113,,
66,-0.00105,-0.0160804037004709,,
67,-0.001046875,-0.0163316600082908,,
68,-0.00104375,-0.0168341726239305,,
69,-0.001040625,-0.0170854289317504,,
70,-0.0010375,-0.0178391978552099,,
71,-0.001034375,-0.0188442230864894,,
72,-0.00103125,-0.0188442230864894,,
73,-0.001028125,-0.0188442230864894,,
74,-0.001025,-0.0201005046255887,,
75,-0.001021875,-0.0211055298568681,,
76,-0.00101875,-0.0216080424725078,,
77,-0.001015625,-0.0221105550881475,,
78,-0.0010125,-0.0223618113959674,,
79,-0.001009375,-0.0233668366272468,,
80,-0.00100625,-0.0246231181663461,,
81,-0.001003125,-0.0253768870898057,,
82,-0.001,-0.0256281433976255,,
83,-0.000996875,-0.026633168628905,,
84,-0.00099375,-0.028391962783644,,
85,-0.000990625,-0.0291457317071036,,
86,-0.0009875,-0.0298995006305631,,
87,-0.000984375,-0.030150756938383,,
88,-0.00098125,-0.0314070384774823,,
89,-0.000978125,-0.0334170889400411,,
90,-0.000975,-0.0346733704791404,,
91,-0.000971875,-0.0354271394026,,
92,-0.00096875,-0.0361809083260596,,
93,-0.000965625,-0.0374371898651589,,
94,-0.0009625,-0.038944727712078,,
95,-0.000959375,-0.0402010092511773,,
96,-0.00095625,-0.0409547781746369,,
97,-0.000953125,-0.0422110597137362,,
98,-0.00095,-0.0434673412528355,,
99,-0.000946875,-0.0447236227919348,,
100,-0.00094375,-0.0452261354075745,,
101,-0.000940625,-0.0457286480232142,,
102,-0.0009375,-0.0469849295623135,,
103,-0.000934375,-0.0479899547935929,,
104,-0.00093125,-0.0489949800248723,,
105,-0.000928125,-0.0494974926405121,,
106,-0.000925,-0.0505025178717915,,
107,-0.000921875,-0.0510050304874312,,
108,-0.00091875,-0.0517587994108908,,
109,-0.000915625,-0.0520100557187106,,
110,-0.0009125,-0.0522613120265305,,
111,-0.000909375,-0.0535175935656298,,
112,-0.00090625,-0.0537688498734497,,
113,-0.000903125,-0.0542713624890894,,
114,-0.0009,-0.0542713624890894,,
115,-0.000896875,-0.0550251314125489,,
116,-0.00089375,-0.0547738751047291,,
117,-0.000890625,-0.0547738751047291,,
118,-0.0008875,-0.0550251314125489,,
119,-0.000884375,-0.0550251314125489,,
120,-0.00088125,-0.0550251314125489,,
121,-0.000878125,-0.0547738751047291,,
122,-0.000875,-0.0545226187969092,,
123,-0.000871875,-0.0545226187969092,,
124,-0.00086875,-0.0540201061812695,,
125,-0.000865625,-0.0535175935656298,,
126,-0.0008625,-0.0530150809499901,,
127,-0.000859375,-0.0530150809499901,,
128,-0.00085625,-0.0527638246421702,,
129,-0.000853125,-0.0515075431030709,,
130,-0.00085,-0.0505025178717915,,
131,-0.000846875,-0.0497487489483319,,
132,-0.00084375,-0.0492462363326922,,
133,-0.000840625,-0.0482412111014128,,
134,-0.0008375,-0.0462311606388539,,
135,-0.000834375,-0.0444723664841149,,
136,-0.00083125,-0.0432160849450156,,
137,-0.000828125,-0.0422110597137362,,
138,-0.000825,-0.0399497529433575,,
139,-0.000821875,-0.0374371898651589,,
140,-0.00081875,-0.0344221141713206,,
141,-0.000815625,-0.0331658326322213,,
142,-0.0008125,-0.0314070384774823,,
143,-0.000809375,-0.0278894501680043,,
144,-0.00080625,-0.0243718618585262,,
145,-0.000803125,-0.0223618113959674,,
146,-0.0008,-0.0208542735490482,,
147,-0.000796875,-0.0168341726239305,,
148,-0.00079375,-0.0133165843144525,,
149,-0.000790625,-0.00879397077369504,,
150,-0.0007875,-0.00678392031113617,,
151,-0.000784375,-0.00477386984857731,,
152,-0.00078125,0,,
153,-0.000778125,0.00502512615639716,,
154,-0.000775,0.00954773969715461,,
155,-0.000771875,0.0115577901597135,,
156,-0.00076875,0.0145728658535518,,
157,-0.000765625,0.0198492483177688,,
158,-0.0007625,0.0246231181663461,,
159,-0.000759375,0.0271356812445447,,
160,-0.00075625,0.0296482443227433,,
161,-0.000753125,0.0341708578635007,,
162,-0.00075,0.0386934714042582,,
163,-0.000746875,0.0434673412528355,,
164,-0.00074375,0.0452261354075745,,
165,-0.000740625,0.0474874421779532,,
166,-0.0007375,0.0515075431030709,,
167,-0.000734375,0.0555276440281887,,
168,-0.00073125,0.0575376944907475,,
169,-0.000728125,0.0590452323376667,,
170,-0.000725,0.062060308031505,,
171,-0.000721875,0.0648241274175234,,
172,-0.00071875,0.0670854341879021,,
173,-0.000715625,0.0675879468035419,,
174,-0.0007125,0.0685929720348213,,
175,-0.000709375,0.0698492535739206,,
176,-0.00070625,0.0708542788052,,
177,-0.000703125,0.0708542788052,,
