Model: ,Oscilloscope DSO-X 2004A
Serial Number:,MY52491735
Address: ,USBInstrument2
Date: ,2026-02-25 14:14:56

Analog Sample Count:,640,

Setup Text Information:,
ANALOG,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,MEASUREMENTS,,,,,,,,,,,,
Ch 1,,,,,,,,,,,,Frequency(1),,,Frequency(2),,,Pk-Pk(2),,,Pk-Pk(1),,,
Scale,100 mV/,,Sweep Mode,Auto,,Mode,MAIN,,Mode,HRES,,Cur,No signal,,Cur,No signal,,Cur,No signal,,Cur,0.184,,
Pos,0 V,,Coup,DC,,Ref,CENT,,Realtime,On,,,,,,,,,,,,,,
Coup,DC,,Noise Rej,Off,,Main Scale,200 µs/,,Vectors,On,,,,,,,,,,,,,,
BW,Off,,HF Rej,Off,,Main Delay,-992 µs,,Persistence,Off,,,,,,,,,,,,,,
Inv,Off,,Holdoff,40.0 ns,,,,,,,,,,,,,,,,,,,,
Imp,1M Ohm,,Mode,EDGE,,,,,,,,,,,,,,,,,,,,
Probe,1 : 1,,Source,Ch 2,,,,,,,,,,,,,,,,,,,,
Skew,0 s,,Slope,POS,,,,,,,,,,,,,,,,,,,,
,,,Level,-82.5 mV,,,,,,,,,,,,,,,,,,,,

Analog Channels,,,,
Sample Number,Time (s),1 (VOLT),,
1,-0.001990625,0.0175879415473901,,
2,-0.0019875,0.0175879415473901,,
3,-0.001984375,0.0178391978552099,,
4,-0.00198125,0.0178391978552099,,
5,-0.001978125,0.0175879415473901,,
6,-0.001975,0.0173366852395702,,
7,-0.001971875,0.0170854289317504,,
8,-0.00196875,0.0168341726239305,,
9,-0.001965625,0.0173366852395702,,
10,-0.0019625,0.0168341726239305,,
11,-0.001959375,0.0168341726239305,,
12,-0.00195625,0.0168341726239305,,
13,-0.001953125,0.0165829163161106,,
14,-0.00195,0.0170854289317504,,
15,-0.001946875,0.0173366852395702,,
16,-0.00194375,0.0170854289317504,,
17,-0.001940625,0.0170854289317504,,
18,-0.0019375,0.0170854289317504,,
19,-0.001934375,0.0170854289317504,,
20,-0.00193125,0.0168341726239305,,
21,-0.001928125,0.0168341726239305,,
22,-0.001925,0.0170854289317504,,
23,-0.001921875,0.0165829163161106,,
24,-0.00191875,0.0170854289317504,,
25,-0.001915625,0.0168341726239305,,
26,-0.0019125,0.0168341726239305,,
27,-0.001909375,0.0165829163161106,,
28,-0.00190625,0.0170854289317504,,
29,-0.001903125,0.0170854289317504,,
30,-0.0019,0.0170854289317504,,
31,-0.001896875,0.0170854289317504,,
32,-0.00189375,0.0170854289317504,,
33,-0.001890625,0.0175879415473901,,
34,-0.0018875,0.0175879415473901,,
35,-0.001884375,0.0175879415473901,,
36,-0.00188125,0.0178391978552099,,
37,-0.001878125,0.0175879415473901,,
38,-0.001875,0.0180904541630298,,
39,-0.001871875,0.0180904541630298,,
40,-0.00186875,0.0180904541630298,,
41,-0.001865625,0.0180904541630298,,
42,-0.0018625,0.0180904541630298,,
43,-0.001859375,0.0180904541630298,,
44,-0.00185625,0.0180904541630298,,
45,-0.001853125,0.0178391978552099,,
46,-0.00185,0.0178391978552099,,
47,-0.001846875,0.0170854289317504,,
48,-0.00184375,0.0170854289317504,,
49,-0.001840625,0.0170854289317504,,
50,-0.0018375,0.0163316600082908,,
51,-0.001834375,0.0160804037004709,,
52,-0.00183125,0.0160804037004709,,
53,-0.001828125,0.0160804037004709,,
54,-0.001825,0.0163316600082908,,
55,-0.001821875,0.0158291473926511,,
56,-0.00181875,0.0153266347770113,,
57,-0.001815625,0.0153266347770113,,
58,-0.0018125,0.0153266347770113,,
59,-0.001809375,0.0148241221613716,,
60,-0.00180625,0.0148241221613716,,
61,-0.001803125,0.0148241221613716,,
62,-0.0018,0.0148241221613716,,
63,-0.001796875,0.0145728658535518,,
64,-0.00179375,0.0138190969300922,,
65,-0.001790625,0.0138190969300922,,
66,-0.0017875,0.0138190969300922,,
67,-0.001784375,0.0138190969300922,,
68,-0.00178125,0.0143216095457319,,
69,-0.001778125,0.0143216095457319,,
70,-0.001775,0.0145728658535518,,
71,-0.001771875,0.0145728658535518,,
72,-0.00176875,0.0145728658535518,,
73,-0.001765625,0.0140703532379121,,
74,-0.0017625,0.0145728658535518,,
75,-0.001759375,0.0140703532379121,,
76,-0.00175625,0.0140703532379121,,
77,-0.001753125,0.0138190969300922,,
78,-0.00175,0.0135678406222723,,
79,-0.001746875,0.0133165843144525,,
80,-0.00174375,0.0133165843144525,,
81,-0.001740625,0.0135678406222723,,
82,-0.0017375,0.0133165843144525,,
83,-0.001734375,0.0133165843144525,,
84,-0.00173125,0.0128140716988128,,
85,-0.001728125,0.0128140716988128,,
86,-0.001725,0.0125628153909929,,
87,-0.001721875,0.0123115590831731,,
88,-0.00171875,0.0120603027753532,,
89,-0.001715625,0.0118090464675333,,
90,-0.0017125,0.0115577901597135,,
91,-0.001709375,0.0113065338518936,,
92,-0.00170625,0.0108040212362539,,
93,-0.001703125,0.010552764928434,,
94,-0.0017,0.010552764928434,,
95,-0.001696875,0.0100502523127943,,
96,-0.00169375,0.0103015086206142,,
97,-0.001690625,0.0103015086206142,,
98,-0.0016875,0.0100502523127943,,
99,-0.001684375,0.0100502523127943,,
100,-0.00168125,0.00979899600497447,,
101,-0.001678125,0.00929648338933475,,
102,-0.001675,0.00854271446587518,,
103,-0.001671875,0.00829145815805532,,
104,-0.00166875,0.00829145815805532,,
105,-0.001665625,0.0077889455424156,,
106,-0.0016625,0.00678392031113617,,
107,-0.001659375,0.00628140769549645,,
108,-0.00165625,0.00628140769549645,,
109,-0.001653125,0.00577889507985674,,
110,-0.00165,0.00552763877203688,,
111,-0.001646875,0.00527638246421702,,
112,-0.00164375,0.00527638246421702,,
113,-0.001640625,0.00527638246421702,,
114,-0.0016375,0.00552763877203688,,
115,-0.001634375,0.00577889507985674,,
116,-0.00163125,0.00552763877203688,,
117,-0.001628125,0.00552763877203688,,
118,-0.001625,0.00552763877203688,,
119,-0.001621875,0.00552763877203688,,
120,-0.00161875,0.00477386984857731,,
121,-0.001615625,0.00452261354075745,,
122,-0.0016125,0.00427135723293759,,
123,-0.001609375,0.00402010092511773,,
124,-0.00160625,0.00351758830947801,,
125,-0.001603125,0.00276381938601844,,
