Model: ,Oscilloscope DSO-X 2004A
Serial Number:,MY52491735
Address: ,USBInstrument2
Date: ,2026-02-25 14:39:52

Analog Sample Count:,894,

Setup Text Information:,
ANALOG,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,MEASUREMENTS,,,,,,,,,,,,
Ch 1,,,,,,,,,,,,Frequency(1),,,Frequency(2),,,Pk-Pk(2),,,Pk-Pk(1),,,
Scale,100 mV/,,Sweep Mode,Auto,,Mode,MAIN,,Mode,HRES,,Cur,No signal,,Cur,No signal,,Cur,No signal,,Cur,0.261,,
Pos,0 V,,Coup,DC,,Ref,CENT,,Realtime,On,,,,,,,,,,,,,,
Coup,DC,,Noise Rej,Off,,Main Scale,200 µs/,,Vectors,On,,,,,,,,,,,,,,
BW,Off,,HF Rej,Off,,Main Delay,-1.138 ms,,Persistence,Off,,,,,,,,,,,,,,
Inv,Off,,Holdoff,40.0 ns,,,,,,,,,,,,,,,,,,,,
Imp,1M Ohm,,Mode,EDGE,,,,,,,,,,,,,,,,,,,,
Probe,1 : 1,,Source,Ch 2,,,,,,,,,,,,,,,,,,,,
Skew,0 s,,Slope,POS,,,,,,,,,,,,,,,,,,,,
,,,Level,-66 mV,,,,,,,,,,,,,,,,,,,,

Analog Channels,,,,
Sample Number,Time (s),1 (VOLT),,
1,-0.00200000005,-0.0130653280066326,,
2,-0.0019979167175,-0.0140703532379121,,
3,-0.001995833385,-0.0153266347770113,,
4,-0.0019937500525,-0.0150753784691915,,
5,-0.00199166672,-0.0160804037004709,,
6,-0.0019895833875,-0.0163316600082908,,
7,-0.001987500055,-0.0165829163161106,,
8,-0.0019854167225,-0.0170854289317504,,
9,-0.00198333339,-0.0173366852395702,,
10,-0.0019812500575,-0.0173366852395702,,
11,-0.001979166725,-0.0188442230864894,,
12,-0.0019770833925,-0.0180904541630298,,
13,-0.00197500006,-0.0183417104708496,,
14,-0.0019729167275,-0.0178391978552099,,
15,-0.001970833395,-0.0170854289317504,,
16,-0.0019687500625,-0.0175879415473901,,
17,-0.00196666673,-0.0173366852395702,,
18,-0.0019645833975,-0.0170854289317504,,
19,-0.001962500065,-0.0165829163161106,,
20,-0.0019604167325,-0.0160804037004709,,
21,-0.0019583334,-0.0160804037004709,,
22,-0.0019562500675,-0.0163316600082908,,
23,-0.001954166735,-0.0155778910848312,,
24,-0.0019520834025,-0.0155778910848312,,
25,-0.00195000007,-0.0148241221613716,,
26,-0.0019479167375,-0.0148241221613716,,
27,-0.001945833405,-0.0138190969300922,,
28,-0.0019437500725,-0.0140703532379121,,
29,-0.00194166674,-0.0135678406222723,,
30,-0.0019395834075,-0.0130653280066326,,
31,-0.001937500075,-0.0133165843144525,,
32,-0.0019354167425,-0.0123115590831731,,
33,-0.00193333341,-0.0123115590831731,,
34,-0.0019312500775,-0.0120603027753532,,
35,-0.001929166745,-0.0120603027753532,,
36,-0.0019270834125,-0.0115577901597135,,
37,-0.00192500008,-0.0113065338518936,,
38,-0.0019229167475,-0.0108040212362539,,
39,-0.001920833415,-0.0103015086206142,,
40,-0.0019187500825,-0.0108040212362539,,
41,-0.00191666675,-0.010552764928434,,
42,-0.0019145834175,-0.0100502523127943,,
43,-0.001912500085,-0.00954773969715461,,
44,-0.0019104167525,-0.00979899600497447,,
45,-0.00190833342,-0.00879397077369504,,
46,-0.0019062500875,-0.00854271446587518,,
47,-0.001904166755,-0.00829145815805532,,
48,-0.0019020834225,-0.0077889455424156,,
49,-0.00190000009,-0.00829145815805532,,
50,-0.0018979167575,-0.00653266400331631,,
51,-0.001895833425,-0.00552763877203688,,
52,-0.0018937500925,-0.00653266400331631,,
53,-0.00189166676,-0.00653266400331631,,
54,-0.0018895834275,-0.00552763877203688,,
55,-0.001887500095,-0.00527638246421702,,
56,-0.0018854167625,-0.00527638246421702,,
57,-0.00188333343,-0.00452261354075745,,
58,-0.0018812500975,-0.00452261354075745,,
59,-0.001879166765,-0.00351758830947801,,
60,-0.0018770834325,-0.00326633200165816,,
61,-0.0018750001,-0.00326633200165816,,
62,-0.0018729167675,-0.00326633200165816,,
63,-0.001870833435,-0.0030150756938383,,
64,-0.0018687501025,-0.00276381938601844,,
65,-0.00186666677,-0.00125628153909929,,
66,-0.0018645834375,-0.00201005046255887,,
67,-0.001862500105,-0.00201005046255887,,
68,-0.0018604167725,-0.00150753784691915,,
