Model: ,Oscilloscope DSO-X 2004A
Serial Number:,MY52491735
Address: ,USBInstrument2
Date: ,2026-03-04 13:55:51

Analog Sample Count:,960,

Setup Text Information:,
ANALOG,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,MEASUREMENTS,,,,,,,,,,,,
Ch 1,,,,,,,,,,,,Frequency(1),,,Frequency(2),,,Pk-Pk(1),,,Pk-Pk(2),,,
Scale,100 mV/,,Sweep Mode,Auto,,Mode,MAIN,,Mode,HRES,,Cur,No signal,,Cur,No signal,,Cur,0.241,,Cur,No signal,,
Pos,0 V,,Coup,DC,,Ref,CENT,,Realtime,On,,,,,,,,,,,,,,
Coup,DC,,Noise Rej,Off,,Main Scale,2 ms/,,Vectors,On,,,,,,,,,,,,,,
BW,Off,,HF Rej,Off,,Main Delay,0 s,,Persistence,Off,,,,,,,,,,,,,,
Inv,Off,,Holdoff,40.0 ns,,,,,,,,,,,,,,,,,,,,
Imp,1M Ohm,,Mode,EDGE,,,,,,,,,,,,,,,,,,,,
Probe,1 : 1,,Source,Ch 2,,,,,,,,,,,,,,,,,,,,
Skew,0 s,,Slope,POS,,,,,,,,,,,,,,,,,,,,
,,,Level,869.75 mV,,,,,,,,,,,,,,,,,,,,

Analog Channels,,,,
Sample Number,Time (s),1 (VOLT),,
1,-0.01,-0.0030150756938383,,
2,-0.0099791666675,-0.00628140769549645,,
3,-0.009958333335,-0.00628140769549645,,
4,-0.0099375000025,-0.00100502523127943,,
5,-0.00991666667,0.00452261354075745,,
6,-0.0098958333375,0.0133165843144525,,
7,-0.009875000005,0.0221105550881475,,
8,-0.0098541666725,0.028391962783644,,
9,-0.00983333334,0.0263819123210851,,
10,-0.0098125000075,0.0256281433976255,,
11,-0.009791666675,0.0339196015556809,,
12,-0.0097708333425,0.0427135723293759,,
13,-0.00975000001,0.045979904331034,,
14,-0.0097291666775,0.0505025178717915,,
15,-0.009708333345,0.060301513876766,,
16,-0.0096875000125,0.067336690495722,,
17,-0.00966666668,0.0670854341879021,,
18,-0.0096458333475,0.056783925567288,,
19,-0.009625000015,0.0505025178717915,,
20,-0.0096041666825,0.0494974926405121,,
21,-0.00958333335,0.0419598034059163,,
22,-0.0095625000175,0.0361809083260596,,
23,-0.009541666685,0.033668345247861,,
24,-0.0095208333525,0.0346733704791404,,
25,-0.00950000002,0.0364321646338794,,
26,-0.0094791666875,0.0427135723293759,,
27,-0.009458333355,0.0474874421779532,,
28,-0.0094375000225,0.0477386984857731,,
29,-0.00941666669,0.0489949800248723,,
30,-0.0093958333575,0.0575376944907475,,
31,-0.009375000025,0.0577889507985674,,
32,-0.0093541666925,0.0530150809499901,,
33,-0.00933333336,0.0530150809499901,,
34,-0.0093125000275,0.0555276440281887,,
35,-0.009291666695,0.0489949800248723,,
36,-0.0092708333625,0.042462316021556,,
37,-0.00925000003,0.042462316021556,,
38,-0.0092291666975,0.0437185975606553,,
39,-0.009208333365,0.0472361858701333,,
40,-0.0091875000325,0.0477386984857731,,
41,-0.0091666667,0.045979904331034,,
42,-0.0091458333675,0.0422110597137362,,
