Model: ,Oscilloscope DSO-X 2004A
Serial Number:,MY52491735
Address: ,USBInstrument2
Date: ,2026-03-02 14:31:19

Analog Sample Count:,960,

Setup Text Information:,
ANALOG,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,
Ch 1,,,,,,,,,,,,
Scale,50 mV/,,Sweep Mode,Auto,,Mode,MAIN,,Mode,HRES,,
Pos,0 V,,Coup,DC,,Ref,CENT,,Realtime,On,,
Coup,DC,,Noise Rej,Off,,Main Scale,156 µs/,,Vectors,On,,
BW,Off,,HF Rej,Off,,Main Delay,10.594 ms,,Persistence,Off,,
Inv,Off,,Holdoff,40.0 ns,,,,,,,,
Imp,1M Ohm,,Mode,EDGE,,,,,,,,
Probe,1 : 1,,Source,Ch 2,,,,,,,,
Skew,0 s,,Slope,POS,,,,,,,,
,,,Level,1.0625 V,,,,,,,,

Analog Channels,,,,
Sample Number,Time (s),1 (VOLT),,
1,0.009813375,-0.00753768836148083,,
2,0.009815,-0.00753768836148083,,
3,0.009816625,-0.00841708533698693,,
4,0.00981825,-0.00791457277955487,,
5,0.009819875,-0.00854271347634494,,
6,0.0098215,-0.0081658290582709,,
7,0.009823125,-0.00841708533698693,,
8,0.00982475,-0.0081658290582709,,
9,0.009826375,-0.00829145719762892,,
10,0.009828,-0.00791457277955487,,
11,0.009829625,-0.00854271347634494,,
12,0.00983125,-0.00879396975506097,,
13,0.009832875,-0.00917085417313501,,
14,0.0098345,-0.0100502511486411,,
15,0.009836125,-0.00879396975506097,,
16,0.00983775,-0.00979899486992508,,
17,0.009839375,-0.00942211045185104,,
18,0.009841,-0.0111809044028632,,
19,0.009842625,-0.0101758792879991,,
20,0.00984425,-0.0109296481241472,,
21,0.009845875,-0.0116834169602953,,
22,0.0098475,-0.0126884420751594,,
23,0.009849125,-0.0123115576570854,,
24,0.00985075,-0.0133165827719495,,
25,0.009852375,-0.0134422109113075,,
26,0.009854,-0.0141959797474556,,
27,0.009855625,-0.0149497485836037,,
28,0.00985725,-0.0160804018378258,,
29,0.009858875,-0.0162060299771838,,
30,0.0098605,-0.0165829143952578,,
31,0.009862125,-0.0174623113707639,,
32,0.00986375,-0.0188442209037021,,
33,0.009865375,-0.0193467334611341,,
34,0.009867,-0.0193467334611341,,
35,0.009868625,-0.0206030148547143,,
36,0.00987025,-0.0211055274121463,,
37,0.009871875,-0.0222361806663685,,
38,0.0098735,-0.0227386932238005,,
39,0.009875125,-0.0221105525270104,,
40,0.00987675,-0.0233668339205906,,
41,0.009878375,-0.0244974871748127,,
42,0.00988,-0.0237437183386646,,
43,0.009881625,-0.0247487434535287,,
44,0.00988325,-0.0253768841503188,,
45,0.009884875,-0.0249999997322448,,
46,0.0098865,-0.0261306529864669,,
47,0.009888125,-0.0266331655438989,,
48,0.00988975,-0.0266331655438989,,
49,0.009891375,-0.027135678101331,,
50,0.009893,-0.0283919594949111,,
51,0.009894625,-0.027386934380047,,
52,0.00989625,-0.0277638187981211,,
53,0.009897875,-0.0283919594949111,,
54,0.0098995,-0.0287688439129852,,
55,0.009901125,-0.0291457283310592,,
56,0.00990275,-0.0290201001917012,,
57,0.009904375,-0.0297738690278493,,
58,0.009906,-0.0295226127491333,,
59,0.009907625,-0.0298994971672073,,
60,0.00990925,-0.0309045222820714,,
61,0.009910875,-0.0306532660033554,,
62,0.0099125,-0.0305276378639974,,
63,0.009914125,-0.0305276378639974,,
64,0.00991575,-0.0301507534459233,,
65,0.009917375,-0.0305276378639974,,
66,0.009919,-0.0304020097246394,,
67,0.009920625,-0.0306532660033554,,
68,0.00992225,-0.0309045222820714,,
69,0.009923875,-0.0305276378639974,,
70,0.0099255,-0.0304020097246394,,
71,0.009927125,-0.0314070348395035,,
72,0.00992875,-0.0315326629788615,,
73,0.009930375,-0.0310301504214294,,
74,0.009932,-0.0319095473969355,,
75,0.009933625,-0.0324120599543676,,
76,0.00993525,-0.0332914569298737,,
77,0.009936875,-0.0324120599543676,,
78,0.0099385,-0.0337939694873057,,
79,0.009940125,-0.0331658287905157,,
80,0.00994175,-0.0344221101840958,,
81,0.009943375,-0.0336683413479477,,
82,0.009945,-0.0347989946021698,,
83,0.009946625,-0.0349246227415279,,
84,0.00994825,-0.0353015071596019,,
85,0.009949875,-0.0350502508808859,,
86,0.0099515,-0.0350502508808859,,
87,0.009953125,-0.036180904135108,,
88,0.00995475,-0.035929647856392,,
89,0.009956375,-0.036557788553182,,
90,0.009958,-0.0368090448318981,,
91,0.009959625,-0.0371859292499721,,
92,0.00996125,-0.03605527599575,,
93,0.009962875,-0.0375628136680461,,
94,0.0099645,-0.0375628136680461,,
95,0.009966125,-0.0374371855286881,,
96,0.00996775,-0.0393216076190583,,
97,0.009969375,-0.0395728638977744,,
98,0.009971,-0.0391959794797003,,
99,0.009972625,-0.0402010045945644,,
100,0.00997425,-0.0398241201764904,,
101,0.009975875,-0.0403266327339225,,
102,0.0099775,-0.0403266327339225,,
103,0.009979125,-0.0407035171519965,,
104,0.00998075,-0.0414572859881446,,
